date,vix_close,vix_open,vix_high,vix_low,vix9d_close,vix9d_open,vix9d_high,vix9d_low,vvix
2022-03-24,21.67,23.61,23.79,21.49,21.67,23.61,23.79,21.49,106.05
2022-03-25,20.81,21.87,22.86,20.8,20.81,21.87,22.86,20.8,109.21
2022-03-28,19.63,22.14,23.33,19.54,19.63,22.14,23.33,19.54,108.29
2022-03-29,18.9,19.7,19.73,18.67,18.9,19.7,19.73,18.67,104.35
2022-03-30,19.33,19.38,20.51,18.72,19.33,19.38,20.51,18.72,107.41
2022-03-31,20.56,19.68,21.48,19.54,20.56,19.68,21.48,19.54,111.45
2022-04-01,19.63,20.62,20.86,19.41,19.63,20.62,20.86,19.41,112.22
2022-04-04,18.57,20.75,20.78,18.45,18.57,20.75,20.78,18.45,107.11
2022-04-05,21.03,18.79,21.57,18.55,21.03,18.79,21.57,18.55,116.27
2022-04-06,22.1,21.27,24.78,21.24,22.1,21.27,24.78,21.24,114.84
2022-04-07,21.55,21.97,23.82,21.12,21.55,21.97,23.82,21.12,113.33
2022-04-08,21.16,21.25,22.34,20.28,21.16,21.25,22.34,20.28,112.14
2022-04-11,24.37,23.09,24.42,22.09,24.37,23.09,24.42,22.09,117.35
2022-04-12,24.26,24.94,25.38,22.27,24.26,24.94,25.38,22.27,117.26
2022-04-13,21.82,23.52,24.45,21.37,21.82,23.52,24.45,21.37,113.76
2022-04-14,22.7,21.72,22.7,20.85,22.7,21.72,22.7,20.85,114.75
2022-04-18,22.17,24.52,24.6,21.98,22.17,24.52,24.6,21.98,110.9
2022-04-19,21.37,22.55,22.92,20.36,21.37,22.55,22.92,20.36,106.06
2022-04-20,20.32,21.13,21.32,19.75,20.32,21.13,21.32,19.75,103.03
2022-04-21,22.68,20.24,23.28,19.81,22.68,20.24,23.28,19.81,110.93
2022-04-22,28.21,22.71,28.27,22.62,28.21,22.71,28.27,22.62,122.37
2022-04-25,27.02,30.04,31.6,26.8,27.02,30.04,31.6,26.8,116.98
2022-04-26,33.52,27.38,33.81,27.06,33.52,27.38,33.81,27.06,127.5
2022-04-27,31.6,31.11,32.77,29.82,31.6,31.11,32.77,29.82,123.71
2022-04-28,29.99,29.91,32.0,28.0,29.99,29.91,32.0,28.0,119.75
2022-04-29,33.4,28.97,34.34,28.54,33.4,28.97,34.34,28.54,121.98
2022-05-02,32.34,33.35,36.64,31.74,32.34,33.35,36.64,31.74,124.48
2022-05-03,29.25,31.76,32.82,29.06,29.25,31.76,32.82,29.06,117.55
2022-05-04,25.42,29.12,29.42,24.94,25.42,29.12,29.42,24.94,106.62
2022-05-05,31.2,25.97,33.2,25.78,31.2,25.97,33.2,25.78,119.18
2022-05-06,30.19,32.23,35.34,29.83,30.19,32.23,35.34,29.83,116.78
2022-05-09,34.75,31.9,35.48,31.9,34.75,31.9,35.48,31.9,125.93
2022-05-10,32.99,33.66,34.84,32.24,32.99,33.66,34.84,32.24,120.98
2022-05-11,32.56,32.87,34.39,30.69,32.56,32.87,34.39,30.69,125.89
2022-05-12,31.77,33.74,34.76,31.7,31.77,33.74,34.76,31.7,122.11
2022-05-13,28.87,31.09,31.2,28.78,28.87,31.09,31.2,28.78,113.89
2022-05-16,27.47,30.01,30.23,27.36,27.47,30.01,30.23,27.36,108.26
2022-05-17,26.1,27.07,27.17,25.51,26.1,27.07,27.17,25.51,101.2
2022-05-18,30.96,26.74,31.49,26.21,30.96,26.74,31.49,26.21,114.96
2022-05-19,29.35,31.24,33.11,29.06,29.35,31.24,33.11,29.06,104.89
2022-05-20,29.43,28.78,32.91,28.06,29.43,28.78,32.91,28.06,107.8
2022-05-23,28.48,28.98,30.39,28.29,28.48,28.98,30.39,28.29,102.68
2022-05-24,29.45,29.43,31.07,29.04,29.45,29.43,31.07,29.04,104.29
2022-05-25,28.37,29.33,30.23,28.16,28.37,29.33,30.23,28.16,98.79
2022-05-26,27.5,28.42,28.46,27.11,27.5,28.42,28.46,27.11,96.25
2022-05-27,25.72,27.5,27.54,25.57,25.72,27.5,27.54,25.57,93.66
2022-05-30,26.54,26.16,26.81,26.08,26.54,26.16,26.81,26.08,
2022-05-31,26.19,27.47,28.35,25.94,26.19,27.47,28.35,25.94,93.1
2022-06-01,25.69,26.05,27.73,25.38,25.69,26.05,27.73,25.38,91.39
2022-06-02,24.72,25.73,26.5,24.33,24.72,25.73,26.5,24.33,91.08
2022-06-03,24.79,24.91,25.96,24.76,24.79,24.91,25.96,24.76,90.5
2022-06-06,25.07,25.37,25.81,24.82,25.07,25.37,25.81,24.82,89.53
2022-06-07,24.02,25.54,26.24,23.88,24.02,25.54,26.24,23.88,87.82
2022-06-08,23.96,24.37,24.78,23.74,23.96,24.37,24.78,23.74,92.68
2022-06-09,26.09,24.29,26.24,23.82,26.09,24.29,26.24,23.82,98.82
2022-06-10,27.75,26.26,29.63,26.05,27.75,26.26,29.63,26.05,99.75
2022-06-13,34.02,31.37,35.05,31.29,34.02,31.37,35.05,31.29,113.72
2022-06-14,32.69,33.01,34.0,32.06,32.69,33.01,34.0,32.06,111.01
2022-06-15,29.62,32.39,32.77,27.76,29.62,32.39,32.77,27.76,105.37
2022-06-16,32.95,30.35,34.82,30.35,32.95,30.35,34.82,30.35,114.36
2022-06-17,31.13,32.84,33.31,30.47,31.13,32.84,33.31,30.47,110.06
2022-06-20,31.03,32.06,32.16,30.98,31.03,32.06,32.16,30.98,
2022-06-21,30.19,30.63,30.65,29.33,30.19,30.63,30.65,29.33,104.37
2022-06-22,28.95,31.45,31.57,28.78,28.95,31.45,31.57,28.78,99.66
2022-06-23,29.05,29.29,29.77,28.74,29.05,29.29,29.77,28.74,98.31
2022-06-24,27.23,29.07,29.72,26.83,27.23,29.07,29.72,26.83,91.34
2022-06-27,26.95,28.3,28.66,26.93,26.95,28.3,28.66,26.93,87.58
2022-06-28,28.36,26.9,28.68,26.47,28.36,26.9,28.68,26.47,90.62
2022-06-29,28.16,28.8,29.36,27.85,28.16,28.8,29.36,27.85,88.92
2022-06-30,28.71,29.42,30.22,28.28,28.71,29.42,30.22,28.28,89.39
2022-07-01,26.7,29.53,29.59,26.69,26.7,29.53,29.59,26.69,85.51
2022-07-04,27.53,27.96,28.1,27.46,27.53,27.96,28.1,27.46,
2022-07-05,27.54,27.37,29.82,27.3,27.54,27.37,29.82,27.3,87.3
2022-07-06,26.73,27.84,28.07,26.43,26.73,27.84,28.07,26.43,85.88
2022-07-07,26.08,26.73,26.79,25.66,26.08,26.73,26.79,25.66,85.88
2022-07-08,24.64,26.41,26.61,24.43,24.64,26.41,26.61,24.43,84.74
2022-07-11,26.17,26.42,26.74,25.79,26.17,26.42,26.74,25.79,88.05
2022-07-12,27.29,27.14,27.75,25.82,27.29,27.14,27.75,25.82,90.06
2022-07-13,26.82,27.35,29.06,26.23,26.82,27.35,29.06,26.23,90.49
2022-07-14,26.4,27.47,28.45,26.2,26.4,27.47,28.45,26.2,90.73
2022-07-15,24.23,26.72,26.72,24.13,24.23,26.72,26.72,24.13,89.37
2022-07-18,25.3,24.83,25.91,24.38,25.3,24.83,25.91,24.38,91.86
2022-07-19,24.5,25.12,25.41,24.23,24.5,25.12,25.41,24.23,88.61
2022-07-20,23.88,24.23,24.73,23.4,23.88,24.23,24.73,23.4,86.75
2022-07-21,23.11,24.07,24.67,22.92,23.11,24.07,24.67,22.92,85.04
2022-07-22,23.03,23.3,23.81,22.41,23.03,23.3,23.81,22.41,84.53
2022-07-25,23.36,24.33,24.57,23.19,23.36,24.33,24.57,23.19,83.82
2022-07-26,24.69,23.95,25.31,23.82,24.69,23.95,25.31,23.82,84.83
2022-07-27,23.24,24.27,24.41,23.02,23.24,24.27,24.41,23.02,81.77
2022-07-28,22.33,23.33,23.54,22.22,22.33,23.33,23.54,22.22,80.88
2022-07-29,21.33,22.13,22.16,21.21,21.33,22.13,22.16,21.21,80.29
2022-08-01,22.84,22.41,23.27,22.26,22.84,22.41,23.27,22.26,86.34
2022-08-02,23.93,24.08,24.68,22.67,23.93,24.08,24.68,22.67,88.47
2022-08-03,21.95,23.86,23.92,21.68,21.95,23.86,23.92,21.68,84.6
2022-08-04,21.44,22.06,22.66,21.44,21.44,22.06,22.66,21.44,83.69
2022-08-05,21.15,21.5,22.58,20.76,21.15,21.5,22.58,20.76,84.13
2022-08-08,21.29,21.74,22.01,20.83,21.29,21.74,22.01,20.83,86.95
2022-08-09,21.77,21.41,22.23,21.41,21.77,21.41,22.23,21.41,87.49
2022-08-10,19.74,22.28,22.34,19.54,19.74,22.28,22.34,19.54,90.04
2022-08-11,20.2,19.84,20.85,19.71,20.2,19.84,20.85,19.71,90.84
2022-08-12,19.53,20.34,20.35,19.12,19.53,20.34,20.35,19.12,91.01
2022-08-15,19.95,20.74,21.16,19.81,19.95,20.74,21.16,19.81,88.73
2022-08-16,19.69,20.23,20.39,19.5,19.69,20.23,20.39,19.5,88.05
2022-08-17,19.9,19.74,20.63,19.41,19.9,19.74,20.63,19.41,87.47
2022-08-18,19.56,20.51,20.61,19.43,19.56,20.51,20.61,19.43,86.46
2022-08-19,20.6,20.16,21.27,20.08,20.6,20.16,21.27,20.08,89.77
2022-08-22,23.8,22.41,24.62,22.39,23.8,22.41,24.62,22.39,94.75
2022-08-23,24.11,24.13,24.21,23.07,24.11,24.13,24.21,23.07,93.34
2022-08-24,22.82,24.37,24.86,22.73,22.82,24.37,24.86,22.73,86.45
2022-08-25,21.78,22.41,23.13,21.77,21.78,22.41,23.13,21.77,83.32
2022-08-26,25.56,22.07,25.9,21.67,25.56,22.07,25.9,21.67,91.66
2022-08-29,26.21,26.86,27.67,25.47,26.21,26.86,27.67,25.47,91.57
2022-08-30,26.21,25.75,27.69,25.13,26.21,25.75,27.69,25.13,91.11
2022-08-31,25.87,25.86,26.62,25.31,25.87,25.86,26.62,25.31,88.4
2022-09-01,25.56,26.88,27.45,25.25,25.56,26.88,27.45,25.25,87.74
2022-09-02,25.47,25.51,26.28,23.19,25.47,25.51,26.28,23.19,89.19
2022-09-05,25.99,26.51,26.85,25.84,25.99,26.51,26.85,25.84,
2022-09-06,26.91,25.46,27.8,25.33,26.91,25.46,27.8,25.33,94.08
2022-09-07,24.64,26.93,27.15,24.54,24.64,26.93,27.15,24.54,88.26
2022-09-08,23.61,24.7,25.9,23.56,23.61,24.7,25.9,23.56,85.57
2022-09-09,22.79,23.49,23.57,22.64,22.79,23.49,23.57,22.64,84.09
2022-09-12,23.87,23.58,24.23,23.16,23.87,23.58,24.23,23.16,84.53
2022-09-13,27.27,23.67,28.15,23.53,27.27,23.67,28.15,23.53,93.89
2022-09-14,26.16,26.73,27.56,26.16,26.16,26.73,27.56,26.16,93.58
2022-09-15,26.27,26.1,26.93,25.42,26.27,26.1,26.93,25.42,92.61
2022-09-16,26.3,27.47,28.45,26.14,26.3,27.47,28.45,26.14,92.42
2022-09-19,25.76,27.69,27.95,25.56,25.76,27.69,27.95,25.56,88.99
2022-09-20,27.16,25.65,27.81,25.61,27.16,25.65,27.81,25.61,91.12
2022-09-21,27.99,28.03,30.18,25.55,27.99,28.03,30.18,25.55,92.05
2022-09-22,27.35,28.16,28.38,26.71,27.35,28.16,28.38,26.71,89.18
2022-09-23,29.92,27.68,32.31,27.58,29.92,27.68,32.31,27.58,101.55
2022-09-26,32.26,31.74,32.88,29.83,32.26,31.74,32.88,29.83,109.09
2022-09-27,32.6,31.2,34.14,30.3,32.6,31.2,34.14,30.3,113.76
2022-09-28,30.18,34.5,34.88,30.03,30.18,34.5,34.88,30.03,105.83
2022-09-29,31.84,31.67,33.46,31.16,31.84,31.67,33.46,31.16,108.31
2022-09-30,31.62,31.61,33.25,29.39,31.62,31.61,33.25,29.39,106.19
2022-10-03,30.1,33.0,33.06,29.63,30.1,33.0,33.06,29.63,103.03
2022-10-04,29.07,29.52,29.62,28.56,29.07,29.52,29.62,28.56,96.83
2022-10-05,28.55,29.36,30.11,28.5,28.55,29.36,30.11,28.5,92.79
2022-10-06,30.52,28.6,30.74,28.56,30.52,28.6,30.74,28.56,97.73
2022-10-07,31.36,30.37,32.02,29.88,31.36,30.37,32.02,29.88,103.37
2022-10-10,32.45,32.93,33.99,32.05,32.45,32.93,33.99,32.05,107.11
2022-10-11,33.63,33.56,34.43,32.45,33.63,33.56,34.43,32.45,105.26
2022-10-12,33.57,33.54,34.53,33.11,33.57,33.54,34.53,33.11,109.19
2022-10-13,31.94,33.6,33.87,31.63,31.94,33.6,33.87,31.63,101.26
2022-10-14,32.02,31.89,32.98,31.14,32.02,31.89,32.98,31.14,101.94
2022-10-17,31.37,32.27,32.59,30.7,31.37,32.27,32.59,30.7,97.32
2022-10-18,30.5,31.1,31.93,30.42,30.5,31.1,31.93,30.42,92.3
2022-10-19,30.76,30.94,31.9,30.76,30.76,30.94,31.9,30.76,90.69
2022-10-20,29.98,31.3,31.32,29.76,29.98,31.3,31.32,29.76,88.35
2022-10-21,29.69,30.21,30.44,29.24,29.69,30.21,30.44,29.24,87.32
2022-10-24,29.85,30.65,30.95,29.78,29.85,30.65,30.95,29.78,86.06
2022-10-25,28.46,29.8,30.0,28.22,28.46,29.8,30.0,28.22,82.21
2022-10-26,27.28,28.44,28.52,27.27,27.28,28.44,28.52,27.27,80.42
2022-10-27,27.39,27.51,27.67,26.94,27.39,27.51,27.67,26.94,82.51
2022-10-28,25.75,27.43,27.59,25.75,25.75,27.43,27.59,25.75,78.12
2022-10-31,25.88,26.91,27.07,25.84,25.88,26.91,27.07,25.84,78.86
2022-11-01,25.81,25.96,26.35,25.66,25.81,25.96,26.35,25.66,80.24
2022-11-02,25.86,26.04,26.62,25.39,25.86,26.04,26.62,25.39,80.93
2022-11-03,25.3,25.98,26.87,25.1,25.3,25.98,26.87,25.1,79.17
2022-11-04,24.55,25.63,25.71,24.0,24.55,25.63,25.71,24.0,79.24
2022-11-07,24.35,25.67,25.67,24.34,24.35,25.67,25.67,24.34,79.95
2022-11-08,25.54,24.71,26.16,24.24,25.54,24.71,26.16,24.24,84.6
2022-11-09,26.09,25.34,26.35,25.02,26.09,25.34,26.35,25.02,90.11
2022-11-10,23.53,26.51,26.59,22.84,23.53,26.51,26.59,22.84,85.78
2022-11-11,22.52,23.89,23.91,22.37,22.52,23.89,23.91,22.37,85.89
2022-11-14,23.73,23.99,24.33,22.86,23.73,23.99,24.33,22.86,84.57
2022-11-15,24.54,23.77,26.22,23.18,24.54,23.77,26.22,23.18,88.31
2022-11-16,24.11,24.29,24.72,23.99,24.11,24.29,24.72,23.99,81.38
2022-11-17,23.93,24.05,25.18,23.81,23.93,24.05,25.18,23.81,81.16
2022-11-18,23.12,24.03,24.12,22.98,23.12,24.03,24.12,22.98,77.68
2022-11-21,22.36,24.05,24.12,22.3,22.36,24.05,24.12,22.3,77.11
2022-11-22,21.29,22.59,22.71,21.28,21.29,22.59,22.71,21.28,77.81
2022-11-23,20.35,21.49,21.78,20.32,20.35,21.49,21.78,20.32,81.72
2022-11-24,20.42,20.5,20.54,20.31,20.42,20.5,20.54,20.31,
2022-11-25,20.5,20.61,21.11,20.46,20.5,20.61,21.11,20.46,82.5
2022-11-28,22.21,22.09,22.5,21.65,22.21,22.09,22.5,21.65,87.33
2022-11-29,21.89,22.09,22.57,21.83,21.89,22.09,22.57,21.83,85.43
2022-11-30,20.58,21.7,22.63,20.31,20.58,21.7,22.63,20.31,81.79
2022-12-01,19.84,20.83,21.06,19.8,19.84,20.83,21.06,19.8,82.19
2022-12-02,19.06,20.42,20.96,18.95,19.06,20.42,20.96,18.95,81.57
2022-12-05,20.75,20.3,21.29,19.78,20.75,20.3,21.29,19.78,84.71
2022-12-06,22.17,20.69,22.6,20.38,22.17,20.69,22.6,20.38,86.59
2022-12-07,22.68,22.32,23.01,22.18,22.68,22.32,23.01,22.18,87.18
2022-12-08,22.29,22.81,23.28,22.06,22.29,22.81,23.28,22.06,84.9
2022-12-09,22.83,22.55,23.21,22.18,22.83,22.55,23.21,22.18,87.26
2022-12-12,25.0,24.4,25.05,24.18,25.0,24.4,25.05,24.18,91.73
2022-12-13,22.55,25.24,25.84,21.46,22.55,25.24,25.84,21.46,88.74
2022-12-14,21.14,22.83,23.47,21.07,21.14,22.83,23.47,21.07,88.35
2022-12-15,22.83,21.52,23.67,21.25,22.83,21.52,23.67,21.25,92.26
2022-12-16,22.62,23.26,23.83,22.09,22.62,23.26,23.83,22.09,89.15
2022-12-19,22.42,22.63,22.86,21.61,22.42,22.63,22.86,21.61,87.54
2022-12-20,21.48,23.17,23.39,21.35,21.48,23.17,23.39,21.35,83.0
2022-12-21,20.07,21.25,21.29,19.94,20.07,21.25,21.29,19.94,77.64
2022-12-22,21.97,20.08,24.3,20.01,21.97,20.08,24.3,20.01,81.94
2022-12-23,20.87,22.17,22.64,20.78,20.87,22.17,22.64,20.78,78.84
2022-12-27,21.65,21.67,22.8,21.59,21.65,21.67,22.8,21.59,78.65
2022-12-28,22.14,21.47,22.26,20.96,22.14,21.47,22.26,20.96,79.9
2022-12-29,21.44,22.25,22.31,21.36,21.44,22.25,22.31,21.36,77.28
2022-12-30,21.67,21.83,22.4,21.59,21.67,21.83,22.4,21.59,77.05
